Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
Tinsukia,6.140689939,1.259207522,4.881482417
Dhemaji,10.8217802,1.436232391,9.385547809
Dibrugarh,14.95295738,3.039084044,11.91387334
Lakhimpur,15.4979388,1.049242136,14.44869666
Sivasagar,17.15000888,0.611686093,16.53832279
Jorhat,7.736947443,1.082349707,6.654597736
Sonitpur,7.745899654,2.549489328,5.196410326
Golaghat,13.18454925,1.593594635,11.59095462
Udalguri,3.138974031,0.003282254,3.135691777
Chirang,2.875769392,0.021873585,2.853895807
Baksa,3.829965692,0.097900998,3.732064694
Nagaon,13.62634202,0.20685283,13.41948919
Kokrajhar,2.564133007,0.046972576,2.517160431
Darrang,15.62408864,3.822695958,11.80139268
Barpeta,13.96647843,3.478605956,10.48787247
Nalbari,8.823179287,2.234621552,6.588557735
Morigaon,15.71118817,2.221938191,13.48924998
Kamrup,10.03897902,1.476174408,8.562804612
Bongaigaon,11.75738514,3.469432123,8.287953017
Dhubri,11.79092943,2.559481456,9.231447974
Kamrup Metropolitan,14.80454405,1.622970103,13.18157395
Goalpara,15.877175,3.270135105,12.6070399
Dima Hasao,1.849797408,0.192925704,1.656871704
Cachar,9.573358688,0.339758463,9.233600225
Karimganj,22.54591712,0.019195636,22.52672148
Hailakandi,17.39218508,0.052376525,17.33980856
Charaideo,16.05397104,0.010879162,16.04309188
Majuli,13.12975694,4.888294451,8.241462489
Biswanath,5.175865068,2.020191719,3.155673349
Hojai,5.264427439,0.109771283,5.154656156
South Salmara Mancachar,28.02392571,10.81288284,17.21104287
Karbi Anglong,1.843407844,0.000151248,1.843256596
West Karbi Anglong,3.225931636,0.096610327,3.129321309
Pashchim Champaran,6.581510908,0.22060865,6.360902258
Purba Champaran,9.508604013,0.12116348,9.387440533
Sitamarhi,4.621194206,0.001510558,4.619683648
Sheohar,9.002316572,0,9.002316572
Gopalganj,5.900053501,0.432458286,5.467595215
Samastipur,14.7707354,0.395790839,14.37494456
Katihar,13.34677951,1.934686307,11.4120932
Khagaria,12.48011269,0.872843213,11.60726948
Bhojpur,6.197224303,0.810391565,5.386832738
Buxar,5.8158623,0.526160857,5.289701443
Darbhanga,10.08119281,0.024744941,10.05644787
Saharsa,8.841447371,0.644150281,8.19729709
Kaimur (bhabua),2.869921368,0.262638721,2.607282647
Rohtas,4.672962273,0.800130744,3.872831529
Jamui,0.5711396,0.157890825,0.413248775
Banka,2.03422427,0.348262775,1.685961495
Nawada,1.840779083,0.079535975,1.761243108
Gaya,3.47076538,0.000225598,3.470539782
Munger,15.77841256,2.040092021,13.73832054
Vaishali,17.98113124,1.112916504,16.86821474
Begusarai,21.87259266,1.072873296,20.79971936
Bhagalpur,16.20260487,2.47274559,13.72985928
Lakhisarai,12.2823616,0.192831525,12.08953008
Sheikhpura,3.509671673,0.004092988,3.505578685
Arwal,22.2718737,0.595563792,21.67630991
Jehanabad,10.28041514,0.001189369,10.27922577
Nalanda,17.26579914,0.017069197,17.24872994
Patna,20.26981192,1.449192516,18.8206194
Saran,13.6847545,1.299936265,12.38481824
Siwan,6.753345435,0.145588085,6.60775735
Muzaffarpur,11.95012947,0.19126057,11.7588689
Madhepura,3.91579591,0.008027921,3.907767989
Araria,6.399493143,0,6.399493143
Supaul,7.982821848,0.634587242,7.348234606
Madhubani,3.784620529,0.037751436,3.746869093
Purnia,6.353941784,0.033127573,6.320814211
Kishanganj,9.339752372,0.190724422,9.14902795
Aurangabad,2.741713494,0.192197924,2.54951557
Chandigarh,0.001739235,0.000745464,0.000993771
Mahasamund,0.960933082,0.333392516,0.627540566
Uttar Bastar Kanker,0.836672614,0.106473076,0.730199538
Narayanpur,0.591873275,0.019401894,0.572471381
Dakshin Bastar Dantewada,1.73160173,0.05840241,1.67319932
Bastar,1.887109361,0.254405482,1.632703879
Kondagaon,1.123981488,0.045498909,1.078482579
Gariaband,0.872452961,0.366717302,0.505735659
Raipur,1.037598285,0.445146211,0.592452074
Durg,1.029480865,0.598727155,0.43075371
Dhamtari,1.523869436,1.570806706,0.04693727
Balod,0.692282824,0.717205888,0.024923064
Koriya,0.581343442,0.102575658,0.478767784
Jashpur,0.612002702,0.04317362,0.568829082
Korba,1.961395836,1.651028381,0.310367455
Kabeerdham,0.818669924,0.253989706,0.564680218
Janjgir - Champa,2.305607554,0.376710728,1.928896826
Bametara,2.704068243,0.320047689,2.384020554
Rajnandgaon,0.602269912,0.353818517,0.248451395
Surajpur,1.420793586,0.200734056,1.22005953
Baloda Bazar,3.669338228,0.368934666,3.300403562
Mungeli,2.354397777,0.519156343,1.835241434
Surguja,0.479102379,0.278929567,0.200172812
Balrampur,0.665330167,0.022677673,0.642652494
Bijapur,2.067319021,0.119061839,1.948257182
Raigarh,1.171171998,0.340147342,0.831024656
Bilaspur,1.199971728,0.445297237,0.754674491
Sukma,1.578192343,0.11146237,1.466729973
North,1.725427554,0,1.725427554
North East,1.464774777,0,1.464774777
West,5.312905892,0,5.312905892
East ,0.1,0,0.1
South West,3.339650881,0,3.339650881
Central,7.250541685,0,7.250541685
New Delhi,0.014199219,0,0.014199219
South,0.006747594,0,0.006747594
Shahdara,0.1,0,0.1
South East,0.675204493,0.045915107,0.629289386
North West,0.1,0,0.1
North Goa,4.159637042,2.577757251,1.581879791
South Goa,2.764330826,0.971762276,1.79256855
Valsad,2.551668353,0.812747791,1.738920562
Amreli,0.551647653,0.455725673,0.09592198
The Dangs,2.171927273,0.007193835,2.164733438
Banas Kantha,0.684661264,0.116877662,0.567783602
Patan,2.72529709,0.128901094,2.596395996
Mahesana,0.776246826,0.08453985,0.691706976
Gandhinagar,1.280221069,0.000328815,1.279892254
Ahmadabad,4.222292965,0.122458085,4.09983488
Panch Mahals,0.963141904,0.574815885,0.388326019
Dohad,0.331645594,0.201923678,0.129721916
Vadodara,3.328415211,0.284762754,3.043652457
Bharuch,3.432850261,1.612396534,1.820453727
Porbandar,5.378579118,0.51266173,4.865917388
Narmada,5.679248253,2.564251605,3.114996648
Surat,5.928437334,0.593664003,5.334773331
Tapi,3.084521179,2.984765412,0.099755767
Aravalli,1.017301706,0.334042991,0.683258715
Botad,0.962947549,0.085839662,0.877107887
Chota Udaipur,0.859683354,0.747200646,0.112482708
Mahisagar,2.501932587,1.803625613,0.698306974
Gir Somnath,0.779801587,0.532788711,0.247012876
Sabar Kantha,0.981927574,0.655214573,0.326713001
Kachchh,12.67467755,9.585998161,3.088679389
Surendranagar,1.286502045,0.14688655,1.139615495
Rajkot,0.801285355,0.493588848,0.307696507
Kheda,2.857113599,0.01148306,2.845630539
Anand,5.640448142,0.236729361,5.403718781
Bhavnagar,1.164791431,1.145481372,0.019310059
Junagadh,1.288798667,0.096341257,1.19245741
Jamnagar,0.665233515,0.663125755,0.00210776
Devbhumi Dwarka,0.632384691,0.65675835,0.024373659
Morbi,0.897578925,1.089593543,0.192014618
Navsari,2.899986996,0.636447966,2.26353903
Jhajjar,1.433630243,0.004170675,1.429459568
Gurugram,1.190106782,0.025213178,1.164893604
Faridabad,6.911149485,0,6.911149485
Mahendragarh,0.562223928,0.000562973,0.561660955
Rewari,0.830835644,0.002779906,0.828055738
Nuh,0.669910248,0,0.669910248
Palwal,1.788990887,0,1.788990887
Charki Dadri,0.854921696,0.002355435,0.852566261
Yamunanagar,5.773638579,0.042011596,5.731626983
Kurukshetra,5.505038063,0.003818992,5.501219071
Kaithal,3.116757085,0.00046637,3.116290715
Sirsa,9.796778385,0.001758909,9.795019476
Karnal,3.351988487,0.003219511,3.348768976
Jind,1.133905451,0,1.133905451
Fatehabad,9.544000142,0,9.544000142
Hisar,4.240875674,0.000529024,4.24034665
Panipat,1.825319296,0,1.825319296
Sonipat,0.905127272,0,0.905127272
Bhiwani,2.188213606,0.000980524,2.187233082
Rohtak,1.003708527,0.003867208,0.999841319
Panchkula,0.322349702,0.040273471,0.282076231
Ambala,4.251029067,0,4.251029067
Lahul & Spiti,0.310107104,0.321979852,0.011872748
Chamba,0.400300346,0.191863584,0.208436762
Kangra,1.044453548,0.966952237,0.077501311
Kullu,0.26843604,0.052025107,0.216410933
Mandi,0.910437082,0.174020686,0.736416396
Kinnaur,0.710681995,0.171089112,0.539592883
Una,0.647137511,0.628882095,0.018255416
Shimla,0.771392749,0.035574686,0.735818063
Solan,0.404819031,0.124151886,0.280667145
Sirmaur,1.011405104,0.033540578,0.977864526
Hamirpur,0.722347337,0.097059815,0.625287522
Bilaspur,6.380614515,4.196110632,2.184503883
Kupwara,0.534056594,0.014099434,0.51995716
Bandipore,2.552861234,0.616409408,1.936451826
Baramula,1.128824654,0.217682121,0.911142533
Ganderbal,1.994547665,0.499016366,1.495531299
Anantnag,0.462302357,0.159500867,0.30280149
Kishtwar,0.405119324,0.12316298,0.281956344
Srinagar,1.003599347,0.724666434,0.278932913
Badgam,3.988476641,0.182326085,3.806150556
Pulwama,3.270901569,0.279219117,2.991682452
Punch,0.738012141,0.059684491,0.67832765
Shupiyan,1.082625131,0.002022763,1.080602368
Kulgam,0.367091191,0.344100009,0.022991182
Rajouri,0.301855404,0.017946919,0.283908485
Ramban,0.754358554,0.309949623,0.444408931
Reasi,1.749523708,0.510462262,1.239061446
Doda,0.541398151,0.270867996,0.270530155
Jammu,2.064462057,0.475037449,1.589424608
Kathua,1.038752523,0.993134601,0.045617922
Udhampur,0.487802833,0.013526323,0.47427651
Samba,0.669356657,0.039351707,0.63000495
Muzaffarabad,0.705240174,0.275433011,0.429807163
Mirpur,2.033481738,1.696173528,0.33730821
Sahibganj,8.050315684,2.307096524,5.74321916
Godda,0.351053647,0.042063828,0.308989819
Pakur,3.841519374,0.015471341,3.826048033
Giridih,0.488850861,0.045970652,0.442880209
Dumka,0.826039058,0.598250003,0.227789055
Deoghar,0.900022929,0.088257849,0.81176508
Palamu,1.260455563,0.197368643,1.06308692
Chatra,0.37639693,0.036811514,0.339585416
Garhwa,0.838209479,0.290692695,0.547516784
Jamtara,1.614168247,0.953600878,0.660567369
Dhanbad,1.331577575,1.123698027,0.207879548
Latehar,0.573164859,0.027933586,0.545231273
Bokaro,1.369848729,1.347818433,0.022030296
Ramgarh,0.955188073,0.516207464,0.438980609
Ranchi,0.833116849,0.368094084,0.465022765
Lohardaga,0.868753763,0.077224984,0.791528779
Gumla,0.738034735,0.061045269,0.676989466
Khunti,0.760830841,0.025055895,0.735774946
Saraikela-kharsawan,1.982457722,1.685259625,0.297198097
Purbi Singhbhum,1.736697053,0.089703785,1.646993268
Pashchimi Singhbhum,0.910148694,0.04196336,0.868185334
Simdega,1.054648305,0.125948542,0.928699763
Kodarma,0.4952359,0.493650006,0.001585894
Hazaribagh,0.550169328,0.473117617,0.077051711
Bidar,1.344650341,0.577171919,0.767478422
Kalaburagi,1.1108725,0.548079914,0.562792586
Belagavi,1.274110942,0.55806105,0.716049892
Yadgir,1.651730783,0.57450138,1.077229403
Bagalkote,1.462562203,1.460163536,0.002398667
Raichur,1.42584206,0.565825072,0.860016988
Koppal,1.056602421,0.555929835,0.500672586
Gadag,0.935237691,0.161614128,0.773623563
Ballari,1.132672375,0.584051989,0.548620386
Dharwad,0.419364228,0.136242811,0.283121417
Uttara Kannada,4.074727101,1.655079328,2.419647773
Haveri,1.243636673,0.202049296,1.041587377
Chitradurga,0.426895091,0.23997582,0.186919271
Davanagere,0.757147753,0.419899366,0.337248387
Shivamogga,1.276369106,1.203198506,0.0731706
Udupi,0.74927375,0.741689148,0.007584602
Chikkamagaluru,1.355001002,0.868566012,0.48643499
Chikkaballapura,0.292140809,0.110670649,0.18147016
Hassan,0.65942209,0.611212696,0.048209394
Kolar,0.261632224,0.109739276,0.151892948
Bengaluru Rural,0.192307509,0.071765205,0.120542304
Dakshina Kannada,1.44861205,0.422123179,1.026488871
Bangalore,0.342520348,0.227953363,0.114566985
Kodagu,0.795547476,0.154509876,0.6410376
Chamarajanagara,2.083532915,0.145853665,1.93767925
Tumakuru,0.340404409,0.284595715,0.055808694
Ramanagara,1.21544654,0.259579863,0.955866677
Mandya,2.146957544,0.730831983,1.416125561
Mysuru,1.66900183,1.291071277,0.377930553
Vijayapura,0.883343513,0.871904394,0.011439119
Kasaragod,3.02140911,0.717632918,2.303776192
Wayanad,0.815062099,0.354881107,0.460180992
Kozhikode,1.40055533,0.599372106,0.801183224
Malappuram,1.938819937,0.260316709,1.678503228
Palakkad,2.435607291,0.550109826,1.885497465
Thrissur,5.136358427,0.761485485,4.374872942
Idukki,0.789197649,0.784504282,0.004693367
Ernakulam,5.103357738,3.843019755,1.260337983
Alappuzha,21.06652893,8.660110439,12.40641849
Kottayam,3.699266664,2.178531176,1.520735488
Pathanamthitta,1.224907042,0.233181386,0.991725656
Kollam,2.689873614,2.697055096,0.007181482
Thiruvananthapuram,0.884604088,0.648894373,0.235709715
Kannur,3.447996641,1.090489394,2.357507247
Leh,0.46868104,0.486956079,0.018275039
Kargil,0.468179461,0.181839586,0.286339875
Lakshadweep,17.42627711,13.42627711,4
Burhanpur,0.821960718,0.136420671,0.685540047
Morena,3.024035354,0.36602215,2.658013204
Bhind,2.808721208,0.119319241,2.689401967
Gwalior,0.637436542,0.480315571,0.157120971
Sheopur,1.417634793,0.185883526,1.231751267
Shivpuri,0.728096946,0.56739149,0.160705456
Tikamgarh,0.397359874,0.123153605,0.274206269
Neemuch,1.80618778,1.853193024,0.047005244
Rewa,0.994456438,0.175699644,0.818756794
Satna,0.676054775,0.682682458,0.006627683
Guna,0.595168951,0.137757934,0.457411017
Ashoknagar,1.106305566,0.886532248,0.219773318
Mandsaur,1.435703116,1.47147063,0.035767514
Singrauli,1.521857949,0.715195816,0.806662133
Sidhi,2.184368869,0.402325215,1.782043654
Sagar,0.895085498,0.240442317,0.654643181
Damoh,1.37672163,0.183081246,1.193640384
Shajapur,0.571010644,0.057503291,0.513507353
Vidisha,0.912677122,0.277215122,0.635462
Rajgarh,0.937282124,0.464455125,0.472826999
Shahdol,0.76725114,0.771098824,0.003847684
Katni,1.074565636,0.544194583,0.530371053
Umaria,0.907342834,0.911756287,0.004413453
Ratlam,0.690751655,0.102150461,0.588601194
Bhopal,0.626374883,0.626869321,0.000494438
Ujjain,0.752619653,0.044407032,0.708212621
Raisen,1.851820563,0.547154614,1.304665949
Sehore,1.308962201,0.443833329,0.865128872
Jabalpur,1.701345896,1.091398785,0.609947111
Dewas,1.037523564,0.405980697,0.631542867
Anuppur,0.69532992,0.16785608,0.52747384
Jhabua,0.409073564,0.130395664,0.2786779
Dindori,1.451159302,0.207929959,1.243229343
Narsimhapur,2.214872889,0.238163477,1.976709412
Dhar,0.815779757,0.487835201,0.327944556
Indore,0.351694942,0.088367293,0.263327649
Mandla,1.57739714,0.911846658,0.665550482
Hoshangabad,2.346467017,0.970690301,1.375776716
Seoni,1.235483561,0.815741223,0.419742338
Alirajpur,0.872416618,0.738663983,0.133752635
Chhindwara,0.626598635,0.382961008,0.243637627
Harda,1.414901297,0.286810929,1.128090368
West Nimar,1.727264926,0.465974584,1.261290342
East Nimar,1.041803014,1.03067221,0.011130804
Balaghat,1.159502036,0.086946009,1.072556027
Barwani,0.86377453,0.58771354,0.27606099
Agar Malwa,0.53688887,0.338892414,0.197996456
Datia,2.46515688,0.299925165,2.165231715
Chhatarpur,1.27766675,0.251215844,1.026450906
Panna,0.90658603,0.165583402,0.741002628
Betul,0.659609051,0.086627039,0.572982012
Niwari,2.347448333,0.208926357,2.138521976
Gondiya,1.020830235,0.911616345,0.10921389
Bhandara,2.564278476,0.742932408,1.821346068
Jalgaon,1.523114248,0.504330321,1.018783927
Wardha,1.65012412,1.005544539,0.644579581
Buldana,0.570331597,0.427298223,0.143033374
Akola,0.880057177,0.274621796,0.605435381
Nashik,0.73876734,0.729292944,0.009474396
Gadchiroli,1.859313068,0.196356508,1.66295656
Washim,0.392447344,0.392373985,0.0000734
Chandrapur,1.760192182,0.535308039,1.224884143
Yavatmal,0.98190471,0.983855741,0.001951031
Jalna,0.710994286,0.649960977,0.061033309
Ahmadnagar,0.691347983,0.697616588,0.006268605
Hingoli,1.332394248,1.334570744,0.002176496
Nanded,1.586913636,0.436541633,1.150372003
Parbhani,3.612234955,0.631474073,2.980760882
Pune,1.079353461,1.091416421,0.01206296
Bid,0.847814579,0.573485427,0.274329152
Mumbai,0.013175876,0.012175873,0.001000003
Latur,0.559348532,0.350302784,0.209045748
Osmanabad,0.279521656,0.27922672,0.000294936
Solapur,1.684216461,0.761165008,0.923051453
Satara,0.886672906,0.88365251,0.003020396
Ratnagiri,1.554240455,0.978975411,0.575265044
Sangli,0.816411266,0.371511861,0.444899405
Kolhapur,1.531674907,0.739128811,0.792546096
Sindhudurg,1.40862314,0.632545644,0.776077496
Thane,3.51519111,2.261563329,1.253627781
Palghar,2.015211138,1.112239022,0.902972116
Nandurbar,1.936180535,1.1061674,0.830013135
Amravati,1.132570579,0.452234552,0.680336027
Dhule,0.703409115,0.475721838,0.227687277
Nagpur,1.535057736,1.136796464,0.398261272
Aurangabad,0.75855332,0.771925606,0.013372286
Raigarh,2.063545631,2.02693479,0.036610841
Mumbai Suburban,0.915654785,0.914657543,0.000997242
Kamjong,0.610853038,0.129302233,0.481550805
Senapati,0.710207411,0,0.710207411
Tamenglong,1.701837152,0.006002374,1.695834778
Imphal West,3.366895401,0.042914083,3.323981318
Kakching,3.624802358,0.104413907,3.520388451
Bishnupur,3.487839839,3.486841412,0.000998427
Chandel,0.632996,0.002124825,0.630871175
Churachandpur,1.167264968,0.2279733,0.939291668
Imphal East,11.82536756,0.032628883,11.79273868
Jiribam,5.343630309,0.111022838,5.232607471
Kangpokpi,0.701396511,0.166897675,0.534498836
Thoubal,23.65742483,0.052982735,23.6044421
Tengnoupal,0.539127806,0,0.539127806
Ukhrul,0.669906789,0,0.669906789
Noney,2.73207358,0.05487921,2.67719437
Pherzawl,2.387954764,0.021159458,2.366795306
Ribhoi,1.874505797,0.159366599,1.715139198
West Khasi Hills,1.198133343,0.006185816,1.191947527
East Jaintia Hills,1.649728103,0.02228155,1.627446553
East Khasi Hills,1.226830999,0.077062889,1.14976811
South Garo Hills,1.298508569,0.025829871,1.272678698
West Garo Hills,1.111942423,0.032280391,1.079662032
East Garo Hills,0.691122728,0.004744409,0.686378319
West Jaintia Hills,1.733990094,0.091584225,1.642405869
South West Khasi Hills,1.814196952,0.045431517,1.768765435
North Garo Hills,1.505747627,0,1.505747627
South West Garo Hills,3.341603843,0.001275329,3.340328514
Kolasib,1.964392845,0.380323566,1.584069279
Aizawl,2.162077627,0.096288881,2.065788746
Mamit,1.381857077,0,1.381857077
Champhai,0.919185436,0,0.919185436
Serchhip,1.328475491,0,1.328475491
Lunglei,2.6734292,0.01244799,2.66098121
Saiha,2.96841934,0.016731928,2.951687412
Lawngtlai,2.814060532,0.021722019,2.792338513
Mon,2.746283665,0.00464644,2.741637225
Longleng,2.847941427,0.010400483,2.837540944
Mokokchung,1.200974196,0,1.200974196
Tuensang,0.650005813,0,0.650005813
Kiphire,1.066560501,0,1.066560501
Peren,0.587829484,0.001342531,0.586486953
Wokha,2.044958036,0.491956258,1.553001778
Zunheboto,0.640526895,0,0.640526895
Phek,1.968885678,0.002356585,1.966529093
Kohima,0.321623488,0,0.321623488
Dimapur,1.720970931,0.004473913,1.716497018
Bhadrak,10.96625941,2.562091316,8.404168094
Dhenkanal,1.607306371,0.725516959,0.881789412
Jajapur,12.17977255,0.632633041,11.54713951
Subarnapur,3.493045358,1.212807104,2.280238254
Nuapada,1.647190051,0.35257892,1.294611131
Balangir,1.245116533,0.149789566,1.095326967
Baudh,2.608651472,0.899336006,1.709315466
Cuttack,13.14840204,1.638891263,11.50951078
Kandhamal,0.573783436,0.032063654,0.541719782
Nayagarh,4.840654376,0.392848482,4.447805894
Khordha,3.367308168,1.214771584,2.152536584
Kalahandi,0.969360733,0.57131064,0.398050093
Jagatsinghapur,3.152171799,3.230232986,0.078061187
Puri,18.91181616,18.5900097,0.32180646
Nabarangapur,0.945022433,0.509433477,0.435588956
Rayagada,1.514776096,0.065376151,1.449399945
Koraput,1.383903026,1.198572767,0.185330259
Malkangiri,1.711137196,1.784198785,0.073061589
Anugul,1.964959616,1.692681852,0.272277764
Kendrapara,23.2512603,4.951021358,18.30023894
Ganjam,3.782362954,1.187000815,2.595362139
Gajapati,0.776854184,0.1973271,0.579527084
Mayurbhanj,1.289395367,0.185356663,1.104038704
Sundargarh,2.122434122,0.304650931,1.817783191
Kendujhar,1.491690841,0.370501647,1.121189194
Baleshwar,12.64357177,3.878298705,8.765273065
Jharsuguda,2.936283719,3.100195768,0.163912049
Bargarh,1.309118184,1.345216816,0.036098632
Debagarh,2.166747854,2.19247626,0.025728406
Sambalpur,1.95082885,1.296871576,0.653957274
Puducherry,1.760373358,0.820562264,0.939811094
Karaikal,1.148059852,1.327174677,0.179114825
Mahe,1.6545,1.410606801,0.243893199
Yanam,32.6562,29.67097127,2.98522873
Gurdaspur,8.104089132,0.113656362,7.99043277
Hoshiarpur,1.124097105,0.108432652,1.015664453
Amritsar,2.592469047,0.034259992,2.558209055
Jalandhar,5.423173348,0,5.423173348
Tarn Taran,5.771552223,0.165720765,5.605831458
Rupnagar,8.530840592,0.471251752,8.05958884
Shahid Bhagat Singh Nagar,10.97305613,0.067246598,10.90580953
Fazilka,4.742047502,0,4.742047502
Moga,2.73145838,0,2.73145838
Ludhiana,4.786805709,0.007473247,4.779332462
Sahibzada Ajit Singh Nag*,0.112972873,0.010724633,0.10224824
Faridkot,4.441457773,0,4.441457773
Fatehgarh Sahib,0.476176498,0,0.476176498
Sri Muktsar Sahib,2.388794655,0.000403704,2.388390951
Sangrur,2.448919322,0,2.448919322
Barnala,1.6671773,0,1.6671773
Bathinda,4.083232034,0.018454025,4.064778009
Patiala,4.903037722,0.000974475,4.902063247
Mansa,2.763547618,0.004390434,2.759157184
Firozpur,8.113945312,0.027828753,8.086116559
Pathankot,2.474306677,1.207937139,1.266369538
Kapurthala,3.634049856,0.260845183,3.373204673
Churu,0.776519408,0.00062635,0.775893058
Jhunjhunun,0.337331328,0.000184082,0.337147246
Jaisalmer,0.490864938,0.007376732,0.483488206
Sikar,0.420855874,0,0.420855874
Alwar,0.348076896,0.005601607,0.342475289
Jaipur,0.300794996,0.001876113,0.298918883
Jodhpur,0.356570143,0.004713804,0.351856339
Bharatpur,2.342300583,0.003684995,2.338615588
Nagaur,0.318324761,0.004782392,0.313542369
Dausa,0.503371084,0.004574126,0.498796958
Karauli,0.633480722,0.197979321,0.435501401
Dhaulpur,3.16604113,0.385474633,2.780566497
Barmer,0.88895207,0.014956261,0.873995809
Sawai Madhopur,1.752297609,0.2640657,1.488231909
Tonk,0.845948588,0.871896612,0.025948024
Pali,0.420034216,0.028374093,0.391660123
Bhilwara,0.795160097,0.045229947,0.74993015
Jalor,1.350286581,0.005874951,1.34441163
Bundi,2.12987866,0.138460405,1.991418255
Kota,2.883610805,0.503964127,2.379646678
Sirohi,0.276456745,0.023800256,0.252656489
Baran,2.698445577,0.273336329,2.425109248
Udaipur,0.289382661,0.290943084,0.001560423
Jhalawar,1.321031828,0.380898218,0.94013361
Dungarpur,0.586707161,0.388930127,0.197777034
Banswara,0.908342871,0.925230196,0.016887325
Ajmer,0.260510002,0.05695381,0.203556192
Rajsamand,0.253865414,0.088450607,0.165414807
Chittaurgarh,1.068551638,1.101782041,0.033230403
Ganganagar,6.604699359,0.009686833,6.595012526
Hanumangarh,3.719727987,0.012851681,3.706876306
Bikaner,0.693208661,0.008307225,0.684901436
Pratapgarh,0.34101676,0.239472067,0.101544693
North  District,0.608832673,0.545185157,0.063647516
West District,0.75096604,0.065150406,0.685815634
South District,1.694907072,0.18276756,1.512139512
East District,0.934153719,0.10298745,0.831166269
Adilabad,1.209758847,0.22104424,0.988714607
Hyderabad,0.522269753,0.52199262,0.000277133
Jagitial,1.696878929,0.394204469,1.30267446
Jangoan,0.433243486,0.315476097,0.117767389
Mulugu,2.920152054,0.667449464,2.25270259
Jogulamba Gadwal,2.863639705,1.45893785,1.404701855
Kamareddy,1.880129371,0.928824065,0.951305306
Karimnagar,1.016544336,1.029366402,0.012822066
Khammam,0.560077929,0.458663756,0.101414173
Kumuram Bheem Asifabad,1.762360552,0.6274381,1.134922452
Mahabubabad,0.514342184,0.26668014,0.247662044
Mahabubnagar,0.520380467,0.103573838,0.416806629
Mancherial,2.37206874,1.035405769,1.336662971
Medak,1.038975884,0.130629891,0.908345993
Medchal Malkajgiri,0.338814937,0.108188415,0.230626522
Nagarkurnool,2.158570923,0.873611522,1.284959401
Nalgonda,1.110181564,1.121014225,0.010832661
Nirmal,2.495939442,1.345821289,1.150118153
Nizamabad,1.414979667,1.37012829,0.044851377
Peddapalli,3.699961317,1.102681823,2.597279494
Rajanna Sircilla,0.563623248,0.564767428,0.00114418
Ranga Reddy,0.412349188,0.327322292,0.085026896
Sangareddy,1.457531752,1.462695895,0.005164143
Siddipet,0.469975702,0.091876715,0.378098987
Suryapet,1.862321095,0.526090291,1.336230804
Vikarabad,0.271652781,0.187043402,0.084609379
Wanaparthy,5.911067913,0.984745694,4.926322219
Warangal Rural,0.420854233,0.3791028,0.041751433
Warangal Urban,0.487587909,0.354480511,0.133107398
Yadadri Bhuvanagiri,0.630428715,0.084363209,0.546065506
Bhadradri Kothagudem,1.367448139,0.625093908,0.742354231
Jayashankar,5.683848444,0.464301349,5.219547095
Narayanpet,1.584991037,0.815999907,0.76899113
North Tripura,1.542869002,0,1.542869002
